organizacao,projeto,descricao_organizacao,descricao_repositorio
cte-zl-ifrn,docker-moodle,Projetos público compartilhados pela ASTE/DEAD/ZL/IFRN com a comunidade acadêmica.,Moodle AVA Image
cte-zl-ifrn,ifrn-editorial-portal,Projetos público compartilhados pela ASTE/DEAD/ZL/IFRN com a comunidade acadêmica.,Portal editorial para edição assistida e submissão controlada de conteúdo Markdown ao repositório cte-zl-ifrn/central-ajuda.
cte-zl-ifrn,central-ajuda,Projetos público compartilhados pela ASTE/DEAD/ZL/IFRN com a comunidade acadêmica.,central-ajuda
cte-zl-ifrn,cte-zl-ifrn.github.io,Projetos público compartilhados pela ASTE/DEAD/ZL/IFRN com a comunidade acadêmica.,Ecossistema AVA do IFRN
cte-zl-ifrn,.github,Projetos público compartilhados pela ASTE/DEAD/ZL/IFRN com a comunidade acadêmica.,Repositório de perfil e configurações da comunidade da organização cte-zl-ifrn.
cte-zl-ifrn,if__favicon,Projetos público compartilhados pela ASTE/DEAD/ZL/IFRN com a comunidade acadêmica.,Favorites Icon (Favicon) de Instituto Federal.
abrasileirado,python_abrasileirado,Validação e manipulação de dados brasileiros com simplicidade,Python library specific brazilian objects and validations.
abrasileirado,blast-dbf,Validação e manipulação de dados brasileiros com simplicidade,Code to convert from dbc to dbf - Based on blast by Mark Adler <madler@alumni.caltech.edu>         Decompressor for output of PKWare Data Compression Library (DCL)
abrasileirado,dbc2dbf,Validação e manipulação de dados brasileiros com simplicidade,Converte arquivos comprimidos com PKWare/DCL(Data Compression Library) para DBF
abrasileirado,django_abrasileirado,Validação e manipulação de dados brasileiros com simplicidade,Django Application specific brazilian fields types
abrasileirado,java_abrasileirado,Validação e manipulação de dados brasileiros com simplicidade,java_abrasileirado
abrasileirado,javascript_abrasileirado,Validação e manipulação de dados brasileiros com simplicidade,javascript_abrasileirado
abrasileirado,php_abrasileirado,Validação e manipulação de dados brasileiros com simplicidade,PHP BRfied
abrasileirado,abrasileirado.github.io,Validação e manipulação de dados brasileiros com simplicidade,Contém o código-fonte do portal público de documentação e apresentação da suíte Abrasileirado.
abrasileirado,.github,Validação e manipulação de dados brasileiros com simplicidade,Repositório de perfil e configurações da comunidade da organização Abrasileirado.
h5p-companion,H5P.TextEditor,Complementos ao H5P,"This is an H5P tool for text content editing based on the TinyMCE library. With this rich text editor, you can create formatted content in a simple and intuitive way, thanks to an easy-to-use interface."
h5p-companion,H5P.CodeMirror,Complementos ao H5P,Code editor for H5P
h5p-companion,H5P.CodeHighlighter,Complementos ao H5P,"This H5P content type allow you to display code from various language (html, javascript, python, etc.) with syntax highlighting."
h5p-companion,CustomizableColumn,Complementos ao H5P,"A library that combines multiple H5P content types into a single vertical layout. Supports nesting, individual configuration of each content item, and drag-and-drop reordering in the editor."
h5p-companion,CustomCSS,Complementos ao H5P,A simple library that change CSS of the Content. Useful when developer wana dynamially changes CSS of another existing Content Type.
h5p-companion,CustomizableInteractiveBook,Complementos ao H5P,"Interactive Book is a library that combines multiple H5P content types into a single vertical layout. It supports nested content, individual configuration for each item, and drag-and-drop reordering within the editor."
h5p-companion,h5p-companion.github.io,Complementos ao H5P,Pages
h5p-companion,.github,Complementos ao H5P,github
h5p-companion,H5P.PreDependencias,Complementos ao H5P,Ferramenta e guia para pré-dependências e empacotamento de bibliotecas H5P no Moodle.
h5p-companion,H5P.Editor.CodeEditor,Complementos ao H5P,Code editor for H5P
